gene_id	gene_name	gene_type	seqnames	start	end	gene_length	strand	scr_1	scr_2	Elf3kd_1	Elf3kd_2
3433	ENSMUSG00000024169.16	Ift140	protein_coding	chr17	25016085	25099495	83410	+	1222	1662	1107	1111
3434	ENSMUSG00000024170.15	Telo2	protein_coding	chr17	25099570	25115967	16397	-	1076	1855	1029	980
3435	ENSMUSG00000024174.9	Pot1b	protein_coding	chr17	55651951	55712628	60677	-	489	561	364	345
3436	ENSMUSG00000024175.2	Tekt4	protein_coding	chr17	25454615	25476602	21987	+	7	15	7	4
3437	ENSMUSG00000024176.10	Sox8	protein_coding	chr17	25565892	25570686	4794	-	1	1	5	11
3438	ENSMUSG00000024177.9	Nme4	protein_coding	chr17	26091734	26095602	3868	-	449	561	438	498
3439	ENSMUSG00000024180.14	Tmem8	protein_coding	chr17	26113299	26123254	9955	+	539	421	309	323
3440	ENSMUSG00000024181.9	Mrpl28	protein_coding	chr17	26123500	26126613	3113	+	2341	4385	2270	2341
3441	ENSMUSG00000024182.16	Axin1	protein_coding	chr17	26138688	26195811	57123	+	6106	6785	5013	5191
3442	ENSMUSG00000024184.15	Pdia2	protein_coding	chr17	26195999	26199087	3088	-	1	2	3	2
3443	ENSMUSG00000024186.15	Rgs11	protein_coding	chr17	26202951	26211324	8373	+	16	17	18	11
3444	ENSMUSG00000024187.15	Fam234a	protein_coding	chr17	26211822	26244242	32420	-	2424	2174	3990	4069
3445	ENSMUSG00000024188.16	Luc7l	protein_coding	chr17	26252896	26285504	32608	+	6333	5818	4183	4245
3446	ENSMUSG00000024190.7	Dusp1	protein_coding	chr17	26505590	26562128	56538	-	11852	6851	13375	12842
3447	ENSMUSG00000024191.15	Bnip1	protein_coding	chr17	26781066	26792565	11499	+	819	1054	606	575
3448	ENSMUSG00000024193.8	Phf1	protein_coding	chr17	26933052	26937908	4856	+	387	347	378	367
3449	ENSMUSG00000024194.16	Cuta	protein_coding	chr17	26933819	26939569	5750	-	2017	2320	1625	1585
3450	ENSMUSG00000024197.10	Plin3	protein_coding	chr17	56277476	56292873	15397	-	8873	6464	8525	8501
3451	ENSMUSG00000024201.12	Kdm4b	protein_coding	chr17	56326062	56402870	76808	+	1624	1672	1978	1953
3452	ENSMUSG00000024206.15	Rfx2	protein_coding	chr17	56775897	56831013	55116	-	198	452	165	159
3453	ENSMUSG00000024208.16	Uqcc2	protein_coding	chr17	27122663	27133916	11253	-	2305	3058	1673	1847
3454	ENSMUSG00000024209.9	1700061G19Rik	protein_coding	chr17	56875477	56888904	13427	+	7	11	9	5
3455	ENSMUSG00000024212.9	Mllt1	protein_coding	chr17	56892611	56935415	42804	-	5441	5626	4691	4690
3456	ENSMUSG00000024213.14	Nudt3	protein_coding	chr17	27579382	27623495	44113	-	2131	3216	3206	3295
3457	ENSMUSG00000024215.14	Spdef	protein_coding	chr17	27714352	27728955	14603	-	2	4	2	1
3458	ENSMUSG00000024217.10	Snrpc	protein_coding	chr17	27838150	27851968	13818	+	1628	1948	933	913
3459	ENSMUSG00000024218.13	Taf11	protein_coding	chr17	27901122	27909844	8722	-	1540	1962	1538	1551
3460	ENSMUSG00000024219.16	Anks1	protein_coding	chr17	27909306	28062775	153469	+	2512	2242	1987	2021
3461	ENSMUSG00000024220.14	Zfp523	protein_coding	chr17	28177129	28205886	28757	+	995	1151	652	677
3462	ENSMUSG00000024222.17	Fkbp5	protein_coding	chr17	28399094	28517527	118433	-	2020	4453	1534	1449
3463	ENSMUSG00000024228.12	Nudt12	protein_coding	chr17	58999618	59013372	13754	-	607	719	699	689
3464	ENSMUSG00000024231.15	Cul2	protein_coding	chr18	3382988	3436377	53389	+	3241	4233	3153	3161
3465	ENSMUSG00000024232.2	Bambi	protein_coding	chr18	3507923	3516404	8481	+	20	27	40	26
3466	ENSMUSG00000024234.7	Mtpap	protein_coding	chr18	4375592	4397330	21738	+	1350	1422	771	762
3467	ENSMUSG00000024235.11	Map3k8	protein_coding	chr18	4331327	4353015	21688	-	38	23	30	22
3468	ENSMUSG00000024236.18	Svil	protein_coding	chr18	4920540	5119299	198759	+	1913	3208	2929	2844
3469	ENSMUSG00000024238.15	Zeb1	protein_coding	chr18	5591860	5775467	183607	+	2819	2609	3766	3566
3470	ENSMUSG00000024240.13	Epc1	protein_coding	chr18	6435951	6516108	80157	-	1315	1343	1309	1330
3471	ENSMUSG00000024241.7	Sos1	protein_coding	chr17	80393751	80480453	86702	-	4882	5435	5314	5308
3472	ENSMUSG00000024242.15	Map4k3	protein_coding	chr17	80580512	80728485	147973	-	12873	6572	11803	12077
3473	ENSMUSG00000024245.4	Tmem178	protein_coding	chr17	80944632	81001816	57184	+	2	1	2	4
3474	ENSMUSG00000024246.9	Thumpd2	protein_coding	chr17	81026332	81065082	38750	-	370	486	441	501
3475	ENSMUSG00000024247.14	Pkdcc	protein_coding	chr17	83215292	83225070	9778	+	3462	637	1224	1220
3476	ENSMUSG00000024248.14	Cox7a2l	protein_coding	chr17	83501918	83517330	15412	-	3745	3208	3853	3989
3477	ENSMUSG00000024251.10	Thada	protein_coding	chr17	84190076	84466205	276129	-	2210	3856	1571	1553
3478	ENSMUSG00000024253.9	Dync2li1	protein_coding	chr17	84626496	84655588	29092	+	438	582	628	754
3479	ENSMUSG00000024254.15	Abcg8	protein_coding	chr17	84676302	84700333	24031	+	4	2	3	1
3480	ENSMUSG00000024258.4	Polr2d	protein_coding	chr18	31789159	31796701	7542	+	1278	1771	1250	1237
3481	ENSMUSG00000024259.9	Slc25a46	protein_coding	chr18	31556111	31609911	53800	-	3879	3936	3387	3345
3482	ENSMUSG00000024260.14	Sap130	protein_coding	chr18	31634371	31723061	88690	+	2156	2969	2031	1932
3483	ENSMUSG00000024268.16	Celf4	protein_coding	chr18	25477632	25754157	276525	-	37	89	44	45
3484	ENSMUSG00000024269.11	Tpgs2	protein_coding	chr18	25127223	25169007	41784	-	867	1186	901	838
3485	ENSMUSG00000024270.11	Slc39a6	protein_coding	chr18	24579881	24603817	23936	-	3930	5040	3952	4024
3486	ENSMUSG00000024271.8	Elp2	protein_coding	chr18	24602866	24639507	36641	+	4660	6513	3564	3664
3487	ENSMUSG00000024273.8	2700062C07Rik	protein_coding	chr18	24470850	24477798	6948	+	324	336	270	251
3488	ENSMUSG00000024274.10	Zscan30	transcribed_unprocessed_pseudogene	chr18	23964818	23987226	22408	-	49	41	44	68
3489	ENSMUSG00000024276.7	Zfp397	protein_coding	chr18	23954692	23964673	9981	+	2760	1765	2370	2456
3490	ENSMUSG00000024277.14	Mapre2	protein_coding	chr18	23752333	23893861	141528	+	1019	1887	825	801
3491	ENSMUSG00000024283.15	Wac	protein_coding	chr18	7868832	7929028	60196	+	4502	4506	4089	4143
3492	ENSMUSG00000024286.8	Ccny	protein_coding	chr18	9312304	9450154	137850	-	7361	5957	7577	7689
3493	ENSMUSG00000024287.8	Thoc1	protein_coding	chr18	9957906	9995489	37583	+	1866	2353	923	1023
3494	ENSMUSG00000024290.9	Rock1	protein_coding	chr18	10064401	10182045	117644	-	8888	7924	8549	8650
3495	ENSMUSG00000024292.15	Cyp4f14	protein_coding	chr17	32905070	32917342	12272	-	1	5	2	4
3496	ENSMUSG00000024293.16	Esco1	protein_coding	chr18	10566507	10610352	43845	-	2232	1593	1240	1246
3497	ENSMUSG00000024294.14	Mib1	protein_coding	chr18	10725548	10818704	93156	+	8494	8023	3066	3199
3498	ENSMUSG00000024295.9	Cyp4f41-ps	transcribed_unprocessed_pseudogene	chr17	32950961	32965718	14757	-	31	9	19	12
3499	ENSMUSG00000024298.15	Zfp871	protein_coding	chr17	32765496	32788287	22791	-	6604	5114	2888	3225
3500	ENSMUSG00000024299.17	Adamts10	protein_coding	chr17	33524204	33553782	29578	+	274	423	193	206
3501	ENSMUSG00000024301.10	Kifc5b	protein_coding	chr17	26917091	26932583	15492	+	1045	1387	357	366
3502	ENSMUSG00000024302.16	Dtna	protein_coding	chr18	23415135	23659715	244580	+	42	23	176	140
3503	ENSMUSG00000024304.14	Cdh2	protein_coding	chr18	16588877	16809246	220369	-	22966	16869	24316	24627
3504	ENSMUSG00000024308.15	Tapbp	protein_coding	chr17	33915899	33929292	13393	+	7594	2710	7472	7239
3505	ENSMUSG00000024309.15	Pfdn6	protein_coding	chr17	33938821	33940343	1522	-	1564	2112	1205	1316
3506	ENSMUSG00000024312.10	Wdr46	protein_coding	chr17	33940660	33949697	9037	+	3221	5160	2332	2420
3507	ENSMUSG00000024317.15	Rnf138	protein_coding	chr18	21001341	21028224	26883	+	1646	1871	1310	1268
3508	ENSMUSG00000024319.18	Vps52	protein_coding	chr17	33955812	33967035	11223	+	2235	3135	2148	2041
3509	ENSMUSG00000024325.8	Ring1	protein_coding	chr17	34020792	34024680	3888	-	655	811	330	355
3510	ENSMUSG00000024327.16	Slc39a7	protein_coding	chr17	34028269	34031682	3413	-	434	574	381	467
3511	ENSMUSG00000024330.17	Col11a2	protein_coding	chr17	34039437	34066685	27248	+	75	61	15	19
3512	ENSMUSG00000024335.20	Brd2	protein_coding	chr17	34112023	34122634	10611	-	23311	26550	19544	19596
3513	ENSMUSG00000024339.12	Tap2	protein_coding	chr17	34203527	34216321	12794	+	12	3	3	5
3514	ENSMUSG00000024346.6	Pfdn1	protein_coding	chr18	36403676	36454524	50848	-	3514	4070	2491	2648
3515	ENSMUSG00000024349.10	Tmem173	protein_coding	chr18	35733679	35740554	6875	-	32	35	216	261
3516	ENSMUSG00000024350.6	Dnajc18	protein_coding	chr18	35671103	35708414	37311	-	1114	1075	1160	1285
3517	ENSMUSG00000024352.12	Spata24	protein_coding	chr18	35656689	35662186	5497	-	65	125	81	53
3518	ENSMUSG00000024354.13	Slc23a1	protein_coding	chr18	35614604	35627244	12640	-	21	38	33	34
3519	ENSMUSG00000024357.10	Sil1	protein_coding	chr18	35266396	35499780	233384	-	1311	1377	1256	1302
3520	ENSMUSG00000024359.10	Hspa9	protein_coding	chr18	34937414	34954357	16943	-	44157	48864	38658	38666
3521	ENSMUSG00000024360.8	Etf1	protein_coding	chr18	34902785	34932007	29222	-	21249	21390	16949	17438
3522	ENSMUSG00000024365.9	Cyp21a1	protein_coding	chr17	34801348	34804561	3213	-	138	130	173	169
3523	ENSMUSG00000024369.16	Nelfe	protein_coding	chr17	34850391	34856372	5981	+	2511	3298	1698	1675
3524	ENSMUSG00000024370.17	Cdc23	protein_coding	chr18	34630951	34651735	20784	-	2116	2008	1120	1119
3525	ENSMUSG00000024371.14	C2	protein_coding	chr17	34862604	34898265	35661	-	206	91	302	353
3526	ENSMUSG00000024376.7	Epb41l4a	protein_coding	chr18	33796327	34006966	210639	-	833	662	548	576
3527	ENSMUSG00000024378.9	Stard4	protein_coding	chr18	33199355	33213862	14507	-	10210	8642	4560	4379
3528	ENSMUSG00000024381.16	Bin1	protein_coding	chr18	32377230	32435737	58507	+	4364	5650	4210	3951
3529	ENSMUSG00000024382.13	Ercc3	protein_coding	chr18	32240300	32270151	29851	+	3716	3897	3264	3282
3530	ENSMUSG00000024383.9	Map3k2	protein_coding	chr18	32163089	32236751	73662	+	4700	4614	2934	3033
3531	ENSMUSG00000024384.4	Iws1	protein_coding	chr18	32067741	32104328	36587	+	3551	3922	2274	2302
3532	ENSMUSG00000024386.9	Proc	protein_coding	chr18	32123126	32139570	16444	-	276	106	133	130
3533	ENSMUSG00000024387.13	Csnk2b	protein_coding	chr17	35116196	35122053	5857	-	6728	7037	5375	5475
3534	ENSMUSG00000024388.11	Myo7b	protein_coding	chr18	31959234	32036961	77727	-	144	81	582	495
3535	ENSMUSG00000024391.7	Apom	protein_coding	chr17	35128997	35132050	3053	-	7	9	2	8
3536	ENSMUSG00000024392.17	Bag6	protein_coding	chr17	35135178	35147322	12144	+	20747	22136	17906	17713
3537	ENSMUSG00000024393.14	Prrc2a	protein_coding	chr17	35149076	35164897	15821	-	33781	40537	25193	24808
3538	ENSMUSG00000024395.9	Lims2	protein_coding	chr18	31922290	31958619	36329	+	1107	563	1934	1898
3539	ENSMUSG00000024397.14	Aif1	protein_coding	chr17	35170991	35176068	5077	-	7	2	3	2
3540	ENSMUSG00000024400.16	Wdr33	protein_coding	chr18	31804090	31907397	103307	+	3608	3822	2446	2482
3541	ENSMUSG00000024401.14	Tnf	protein_coding	chr17	35199381	35202007	2626	-	8	2	3	4
3542	ENSMUSG00000024402.5	Lta	protein_coding	chr17	35203165	35205351	2186	-	25	34	43	39
3543	ENSMUSG00000024403.16	Atp6v1g2	protein_coding	chr17	35233660	35238767	5107	+	52	46	43	40
3544	ENSMUSG00000024404.7	Riok3	protein_coding	chr18	12128741	12157387	28646	+	8300	5991	7177	7451
3545	ENSMUSG00000024409.8	Psors1c2	protein_coding	chr17	35533201	35534647	1446	+	20	8	6	4
3546	ENSMUSG00000024410.15	Rmc1	protein_coding	chr18	12168717	12190658	21941	+	1193	1381	1282	1261
3547	ENSMUSG00000024413.14	Npc1	protein_coding	chr18	12189692	12236400	46708	-	3878	3644	4200	4074
3548	ENSMUSG00000024414.13	Mrpl27	protein_coding	chr11	94653767	94660089	6322	+	865	1067	736	761
3549	ENSMUSG00000024420.9	Zfp521	protein_coding	chr18	13687013	13972787	285774	-	2	1	2	2
3550	ENSMUSG00000024421.16	Lama3	protein_coding	chr18	12333819	12583013	249194	+	19	41	15	15
3551	ENSMUSG00000024422.14	Dhx16	protein_coding	chr17	35879819	35892670	12851	+	3413	4421	3135	3327
3552	ENSMUSG00000024423.6	Impact	protein_coding	chr18	12955852	12992950	37098	+	1489	1299	1548	1497
3553	ENSMUSG00000024424.15	Ttc39c	protein_coding	chr18	12599896	12738863	138967	+	86	84	66	51
3554	ENSMUSG00000024425.4	Ndfip1	protein_coding	chr18	38410396	38465303	54907	+	10671	9691	18209	18618
3555	ENSMUSG00000024426.17	Atat1	protein_coding	chr17	35897595	35910075	12480	-	662	581	660	653
3556	ENSMUSG00000024427.7	Spry4	protein_coding	chr18	38586247	38601415	15168	-	72	66	193	164
3557	ENSMUSG00000024429.9	Gnl1	protein_coding	chr17	35979851	35989462	9611	+	3201	4346	2976	3016
3558	ENSMUSG00000024430.14	Cabyr	protein_coding	chr18	12740322	12755260	14938	+	6	10	8	9
3559	ENSMUSG00000024431.15	Nr3c1	protein_coding	chr18	39410545	39519421	108876	-	6073	6450	4229	4404
3560	ENSMUSG00000024436.16	Mrps18b	protein_coding	chr17	35910379	35916389	6010	-	892	1086	595	608
3561	ENSMUSG00000024437.6	Gm8615	transcribed_processed_pseudogene	chr5	149155108	149156209	1101	-	72	57	83	84
3562	ENSMUSG00000024440.13	Pcdh12	protein_coding	chr18	38267089	38284402	17313	-	1	2	12	12
3563	ENSMUSG00000024442.6	Dele1	protein_coding	chr18	38250255	38265461	15206	+	1718	1745	1370	1373
3564	ENSMUSG00000024446.13	Rpp21	protein_coding	chr17	36255645	36258069	2424	-	554	669	371	434
3565	ENSMUSG00000024451.9	Arap3	protein_coding	chr18	37972628	37998969	26341	-	936	321	473	424
3566	ENSMUSG00000024454.16	Hdac3	protein_coding	chr18	37935844	37955016	19172	-	2723	4031	2698	2578
3567	ENSMUSG00000024456.16	Diaph1	protein_coding	chr18	37843601	37935476	91875	-	7503	7322	8414	8476
3568	ENSMUSG00000024457.16	Trim26	protein_coding	chr17	36837134	36859398	22264	+	3031	3339	2662	2643
3569	ENSMUSG00000024459.18	H2-M5	protein_coding	chr17	36984061	36989537	5476	-	7	1	8	3
3570	ENSMUSG00000024462.17	Gabbr1	protein_coding	chr17	37045966	37075067	29101	+	1020	1348	1725	1611
3571	ENSMUSG00000024472.9	Dcp2	protein_coding	chr18	44380502	44424969	44467	+	5279	2657	988	1059
3572	ENSMUSG00000024474.7	Ik	protein_coding	chr18	36744656	36757639	12983	+	3963	4511	2802	2842
3573	ENSMUSG00000024477.4	Pggt1b	protein_coding	chr18	46235351	46280993	45642	-	4187	3408	3995	4028
3574	ENSMUSG00000024479.3	Mal2	protein_coding	chr15	54571192	54602847	31655	+	307	418	875	956
3575	ENSMUSG00000024480.9	Ap3s1	protein_coding	chr18	46741876	46790826	48950	+	1427	1212	1973	1963
3576	ENSMUSG00000024481.5	Lvrn	protein_coding	chr18	46850038	46907242	57204	+	35	38	36	63
3577	ENSMUSG00000024483.19	Ankhd1	protein_coding	chr18	36559987	36658913	98926	+	4498	4569	2844	2996
3578	ENSMUSG00000024485.16	Slc4a9	protein_coding	chr18	36528147	36556273	28126	+	121	48	240	251
3579	ENSMUSG00000024486.6	Hbegf	protein_coding	chr18	36504927	36515805	10878	-	6292	6531	4638	4561
3580	ENSMUSG00000024487.5	Yipf5	protein_coding	chr18	40203896	40219429	15533	-	2580	2825	2783	2771
3581	ENSMUSG00000024491.16	Rbm27	protein_coding	chr18	42275353	42341542	66189	+	3999	4078	2875	2992
3582	ENSMUSG00000024493.9	Lars	protein_coding	chr18	42202298	42262194	59896	-	9127	10847	7532	7612
3583	ENSMUSG00000024498.16	Tcerg1	protein_coding	chr18	42511487	42575793	64306	+	4319	8392	5283	5329
3584	ENSMUSG00000024500.19	Ppp2r2b	protein_coding	chr18	42637432	43059471	422039	-	875	716	191	212
3585	ENSMUSG00000024501.20	Dpysl3	protein_coding	chr18	43320984	43438286	117302	-	3253	2109	7386	7673
3586	ENSMUSG00000024502.10	Jakmip2	protein_coding	chr18	43531407	43687773	156366	-	33	100	32	30
3587	ENSMUSG00000024505.16	Dtwd2	protein_coding	chr18	49696145	49755601	59456	-	189	146	92	119
3588	ENSMUSG00000024507.6	Hsd17b4	protein_coding	chr18	50128201	50196269	68068	+	6094	6183	4865	4916
3589	ENSMUSG00000024511.15	Rab27b	protein_coding	chr18	69979131	70141605	162474	-	1723	2311	1812	1874
3590	ENSMUSG00000024512.4	Dynap	protein_coding	chr18	70240429	70244582	4153	-	9	81	78	75
3591	ENSMUSG00000024513.16	Mbd2	protein_coding	chr18	70568189	70626131	57942	+	4435	4489	3985	3867
3592	ENSMUSG00000024515.13	Smad4	protein_coding	chr18	73639009	73703780	64771	-	6294	6252	7270	7348
3593	ENSMUSG00000024516.13	Sec11c	protein_coding	chr18	65800515	65817684	17169	+	772	873	605	599
3594	ENSMUSG00000024521.8	Pmaip1	protein_coding	chr18	66458533	66465565	7032	+	10925	6642	7655	8048
3595	ENSMUSG00000024524.17	Gnal	protein_coding	chr18	67088216	67226792	138576	+	9	16	8	1
3596	ENSMUSG00000024525.7	Impa2	protein_coding	chr18	67289186	67322472	33286	+	288	505	151	158
3597	ENSMUSG00000024526.9	Cidea	protein_coding	chr18	67343604	67367785	24181	+	1	4	1	1
3598	ENSMUSG00000024527.10	Afg3l2	protein_coding	chr18	67404764	67449172	44408	-	3709	4793	3446	3523
3599	ENSMUSG00000024528.8	Srfbp1	protein_coding	chr18	52465693	52491931	26238	+	939	1008	813	755
3600	ENSMUSG00000024533.17	Spire1	protein_coding	chr18	67488209	67610790	122581	-	1098	1745	1311	1365
3601	ENSMUSG00000024535.16	Snx24	protein_coding	chr18	53245662	53390920	145258	+	1406	1346	2110	2124
3602	ENSMUSG00000024537.5	Psmg2	protein_coding	chr18	67641599	67654162	12563	+	770	1153	559	536
3603	ENSMUSG00000024538.8	Ppic	protein_coding	chr18	53406332	53418115	11783	-	5416	4171	4759	4841
3604	ENSMUSG00000024539.17	Ptpn2	protein_coding	chr18	67665511	67724595	59084	-	1734	2026	1696	1635
3605	ENSMUSG00000024542.9	Cep192	protein_coding	chr18	67800107	67885170	85063	+	4442	4777	2974	2847
3606	ENSMUSG00000024544.9	Ldlrad4	protein_coding	chr18	67933257	68268630	335373	+	248	226	289	344
3607	ENSMUSG00000024548.11	Setbp1	protein_coding	chr18	78750380	79109391	359011	-	256	446	521	516
3608	ENSMUSG00000024556.4	Me2	protein_coding	chr18	73769903	73815449	45546	-	3084	5172	2187	2153
3609	ENSMUSG00000024558.12	Mapk4	protein_coding	chr18	73928486	74065359	136873	-	631	1536	1684	1589
3610	ENSMUSG00000024560.7	Cxxc1	protein_coding	chr18	74216124	74221496	5372	+	2208	2543	1798	1680
3611	ENSMUSG00000024561.11	Mbd1	protein_coding	chr18	74267605	74282732	15127	+	2914	2325	2606	2582
3612	ENSMUSG00000024563.16	Smad2	protein_coding	chr18	76241580	76310963	69383	+	4283	4968	5038	4954
3613	ENSMUSG00000024565.10	Sall3	protein_coding	chr18	80966376	80986771	20395	-	280	515	256	240
3614	ENSMUSG00000024566.10	Atp9b	protein_coding	chr18	80734141	80934060	199919	-	3852	3284	3854	3718
3615	ENSMUSG00000024570.7	Rbfa	protein_coding	chr18	80192265	80200658	8393	-	315	384	299	361
3616	ENSMUSG00000024571.15	Gm16286	protein_coding	chr18	80206765	80212741	5976	+	6707	6531	6510	6719
3617	ENSMUSG00000024575.16	Pde6a	protein_coding	chr18	61220315	61289924	69609	+	40	71	16	28
3618	ENSMUSG00000024576.14	Csnk1a1	protein_coding	chr18	61555274	61590061	34787	+	13042	13774	11741	12259
3619	ENSMUSG00000024579.7	Pcyox1l	protein_coding	chr18	61696837	61707635	10798	-	691	769	426	403
3620	ENSMUSG00000024580.8	Grpel2	protein_coding	chr18	61712424	61726325	13901	-	1024	1051	1072	1079
3621	ENSMUSG00000024581.13	Napg	protein_coding	chr18	62977831	62999450	21619	+	2078	1928	2074	2181
3622	ENSMUSG00000024583.3	Txnl1	protein_coding	chr18	63661094	63708801	47707	-	11067	10860	8437	8719
3623	ENSMUSG00000024587.10	Nars	protein_coding	chr18	64499647	64516652	17005	-	22411	20304	28636	28952
3624	ENSMUSG00000024588.9	Fech	protein_coding	chr18	64452914	64490251	37337	-	4906	4752	4123	4063
3625	ENSMUSG00000024589.18	Nedd4l	protein_coding	chr18	64887705	65217828	330123	+	2255	2053	2475	2396
3626	ENSMUSG00000024590.8	Lmnb1	protein_coding	chr18	56707813	56753424	45611	+	8794	7701	3324	3406
3627	ENSMUSG00000024592.15	C330018D20Rik	protein_coding	chr18	56955833	56975368	19535	-	788	819	952	905
3628	ENSMUSG00000024593.15	Megf10	protein_coding	chr18	57133090	57297467	164377	+	12	49	15	14
3629	ENSMUSG00000024594.9	Prrc1	protein_coding	chr18	57354741	57392956	38215	+	1789	1692	2013	1999
3630	ENSMUSG00000024597.11	Slc12a2	protein_coding	chr18	57878678	57946821	68143	+	19214	26276	12148	12686
3631	ENSMUSG00000024600.8	Slc27a6	protein_coding	chr18	58556257	58612773	56516	+	73	58	76	83
3632	ENSMUSG00000024601.9	Isoc1	protein_coding	chr18	58659466	58680368	20902	+	1156	1657	1078	1129
3633	ENSMUSG00000024603.8	Dctn4	protein_coding	chr18	60526185	60558766	32581	+	4812	4263	3526	3509
3634	ENSMUSG00000024604.7	Rbm22	protein_coding	chr18	60560736	60572810	12074	+	2411	2900	1839	1919
3635	ENSMUSG00000024608.11	Rps14	protein_coding	chr18	60747098	60778546	31448	+	20045	27114	13358	14294
3636	ENSMUSG00000024610.15	Cd74	protein_coding	chr18	60803848	60812652	8804	+	43	20	57	26
3637	ENSMUSG00000024613.16	Tcof1	protein_coding	chr18	60813755	60848971	35216	-	3975	6757	3015	2998
3638	ENSMUSG00000024614.7	Tmx3	protein_coding	chr18	90510154	90543267	33113	+	9040	9524	2521	2833
3639	ENSMUSG00000024617.16	Camk2a	protein_coding	chr18	60925618	60988152	62534	+	36	45	28	22
3640	ENSMUSG00000024620.11	Pdgfrb	protein_coding	chr18	61045150	61085061	39911	+	52	21	14	9
3641	ENSMUSG00000024621.16	Csf1r	protein_coding	chr18	61100598	61132149	31551	+	1460	133	576	484
3642	ENSMUSG00000024622.8	Hmgxb3	protein_coding	chr18	61131277	61177050	45773	-	3148	2547	2656	2641
3643	ENSMUSG00000024639.5	Gnaq	protein_coding	chr19	16132831	16387463	254632	+	10559	6702	10775	10765
3644	ENSMUSG00000024640.9	Psat1	protein_coding	chr19	15904678	15947337	42659	-	24736	35183	17977	18335
3645	ENSMUSG00000024642.17	Tle4	protein_coding	chr19	14448150	14598051	149901	-	2820	3594	1959	1895
3646	ENSMUSG00000024644.17	Cndp2	protein_coding	chr18	84667465	84685702	18237	-	9064	6893	9090	9201
3647	ENSMUSG00000024645.5	Timm21	protein_coding	chr18	84946191	84951524	5333	-	505	782	295	343
3648	ENSMUSG00000024646.14	Cyb5a	protein_coding	chr18	84838704	84879871	41167	+	7301	6794	7309	7834
3649	ENSMUSG00000024654.8	Asrgl1	protein_coding	chr19	9109868	9135636	25768	-	31	126	86	76
3650	ENSMUSG00000024658.7	Gm9750	lncRNA	chr19	9135157	9279175	144018	+	9	8	6	6
3651	ENSMUSG00000024659.15	Anxa1	protein_coding	chr19	20373428	20390944	17516	-	83488	56519	86753	85060
3652	ENSMUSG00000024660.9	Incenp	protein_coding	chr19	9872296	9899551	27255	-	6860	9814	2294	2172
3653	ENSMUSG00000024661.7	Fth1	protein_coding	chr19	9980598	9985098	4500	+	38091	71262	89014	84209
3654	ENSMUSG00000024663.20	Rab3il1	protein_coding	chr19	10001669	10038380	36711	+	71	57	40	32
3655	ENSMUSG00000024664.5	Fads3	protein_coding	chr19	10041569	10060110	18541	+	9230	9002	9973	10108
3656	ENSMUSG00000024665.8	Fads2	protein_coding	chr19	10062765	10101746	38981	-	14122	15243	21992	20741
3657	ENSMUSG00000024666.6	Tmem138	protein_coding	chr19	10570478	10577362	6884	-	723	916	583	529
3658	ENSMUSG00000024667.12	Tmem216	protein_coding	chr19	10533865	10556238	22373	-	582	660	598	632
3659	ENSMUSG00000024668.8	Sdhaf2	protein_coding	chr19	10500534	10526142	25608	-	3945	4009	2713	2776
3660	ENSMUSG00000024669.8	Cd5	protein_coding	chr19	10717116	10739002	21886	-	3	6	9	3
3661	ENSMUSG00000024670.17	Cd6	protein_coding	chr19	10789341	10830058	40717	-	7	4	27	20
3662	ENSMUSG00000024675.19	Ms4a4c	protein_coding	chr19	11404770	11427246	22476	+	20	25	12	16
3663	ENSMUSG00000024677.13	Ms4a6b	protein_coding	chr19	11516512	11531256	14744	+	23	6	10	12
3664	ENSMUSG00000024678.6	Ms4a4d	protein_coding	chr19	11536801	11558467	21666	+	540	282	132	121
3665	ENSMUSG00000024679.10	Ms4a6d	protein_coding	chr19	11586604	11604849	18245	-	16	8	22	10
3666	ENSMUSG00000024680.12	Ms4a2	protein_coding	chr19	11615523	11623719	8196	-	14	5	24	22
3667	ENSMUSG00000024682.3	Cblif	protein_coding	chr19	11747554	11763447	15893	+	5	5	7	14
3668	ENSMUSG00000024683.6	Mrpl16	protein_coding	chr19	11770391	11774960	4569	+	4215	4961	3574	3662
3669	ENSMUSG00000024687.11	Osbp	protein_coding	chr19	11965941	11994112	28171	+	4159	7171	8058	8073
3670	ENSMUSG00000024694.9	Keg1	protein_coding	chr19	12695786	12719902	24116	+	6	1	17	16
3671	ENSMUSG00000024695.16	Zfp91	protein_coding	chr19	12767020	12796126	29106	-	16693	13349	10257	10908
3672	ENSMUSG00000024696.9	Lpxn	protein_coding	chr19	12796193	12833807	37614	+	51	45	30	35
3673	ENSMUSG00000024697.4	Gna14	protein_coding	chr19	16435762	16610820	175058	+	5	7	4	2
3674	ENSMUSG00000024712.9	Rfk	protein_coding	chr19	17394043	17401349	7306	+	5811	7342	6080	6174
3675	ENSMUSG00000024725.13	Ostf1	protein_coding	chr19	18516137	18631823	115686	-	6003	4948	3630	3439
3676	ENSMUSG00000024726.10	Carnmt1	protein_coding	chr19	18670764	18707200	36436	+	979	1188	731	820
3677	ENSMUSG00000024727.9	Trpm6	protein_coding	chr19	18749983	18892511	142528	+	580	210	226	243
3678	ENSMUSG00000024732.7	Ccdc86	protein_coding	chr19	10941481	10949266	7785	-	3781	6055	3595	3367
3679	ENSMUSG00000024735.13	Prpf19	protein_coding	chr19	10895231	10909559	14328	+	18654	21950	12599	12575
